"REPORTE DE VENTAS POR CLIENTE DETALLADO","","","","","","","","","","","","",""
"Caja","Cliente","Nombre","Doc.","Factura","TOTAL1","F.Emision","Usuhora","Clave","Descripción","Cantidad","Prec.","Importe","Total"
"ESTACION05","SYS","Cliente de mostrador","REM","57829","521.82","12/29/2020","14:10:37","ACNUT1","Aceite Nutrioli 850ml","2","27.5","55","2"
"ESTACION05","SYS","Cliente de mostrador","REM","58027","103.47","12/30/2020","08:41:26","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","58107","27.5","12/30/2020","10:15:39","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","58121","458.7","12/30/2020","10:33:43","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","58238","1024.86","12/30/2020","12:33:48","ACNUT1","Aceite Nutrioli 850ml","6","26.16","156.96","6"
"ESTACION05","SYS","Cliente de mostrador","REM","58251","117.4","12/30/2020","12:45:17","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","58317","1342.98","12/30/2020","13:52:09","ACNUT1","Aceite Nutrioli 850ml","2","27.5","55","2"
"ESTACION05","SYS","Cliente de mostrador","REM","58394","27.5","12/30/2020","15:22:49","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","58524","308.8","12/30/2020","18:31:14","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","58528","56","12/30/2020","18:34:51","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","58678","27.5","12/31/2020","09:32:05","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","58783","332.14","12/31/2020","11:18:07","ACNUT1","Aceite Nutrioli 850ml","3","27.5","82.5","3"
"ESTACION05","SYS","Cliente de mostrador","REM","58859","27.5","12/31/2020","12:25:56","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","58884","27.5","12/31/2020","12:49:37","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","59112","458.3","12/31/2020","17:13:19","ACNUT1","Aceite Nutrioli 850ml","2","27.5","55","2"
"ESTACION05","SYS","Cliente de mostrador","REM","59151","126.5","12/31/2020","18:00:57","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","59301","3819.86","1/2/2021","09:39:42","ACNUT1","Aceite Nutrioli 850ml","12","25.825","309.9","12"
"ESTACION05","SYS","Cliente de mostrador","REM","59453","27.5","1/2/2021","14:24:30","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","59523","50.5","1/2/2021","16:43:19","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","59596","3840.58","1/4/2021","06:52:07","ACNUT1","Aceite Nutrioli 850ml","12","25.825","309.9","12"
"ESTACION05","SYS","Cliente de mostrador","REM","59688","179.7","1/4/2021","09:33:22","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","59757","97.3","1/4/2021","11:15:53","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","59806","123.9","1/4/2021","12:14:27","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","59890","120.5","1/4/2021","14:22:33","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","60110","67.9","1/5/2021","09:41:49","ACNUT1","Aceite Nutrioli 850ml","2","27.5","55","2"
"ESTACION05","SYS","Cliente de mostrador","REM","60137","93.4","1/5/2021","10:31:52","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","60307","111.5","1/5/2021","15:38:25","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","60319","84","1/5/2021","16:19:41","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","60359","106.3","1/5/2021","18:20:09","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","60364","163.3","1/5/2021","18:39:36","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","60679","27.5","1/6/2021","18:30:39","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","60688","3062.556","1/7/2021","06:24:51","ACNUT1","Aceite Nutrioli 850ml","12","25.825","309.9","12"
"ESTACION05","SYS","Cliente de mostrador","REM","60790","526.7","1/7/2021","10:37:59","ACNUT1","Aceite Nutrioli 850ml","2","27.5","55","2"
"ESTACION05","SYS","Cliente de mostrador","REM","61132","3749.66","1/8/2021","10:26:15","ACNUT1","Aceite Nutrioli 850ml","12","25.825","309.9","12"
"ESTACION05","SYS","Cliente de mostrador","REM","61421","253.3","1/9/2021","08:22:09","ACNUT1","Aceite Nutrioli 850ml","2","27.5","55","2"
"ESTACION05","SYS","Cliente de mostrador","REM","61585","132.8","1/9/2021","12:52:16","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","61707","140.4","1/9/2021","15:43:07","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","61728","601","1/9/2021","16:18:34","ACNUT1","Aceite Nutrioli 850ml","3","27.5","82.5","3"
"ESTACION05","SYS","Cliente de mostrador","REM","61754","27.5","1/9/2021","17:23:56","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","61762","83.4","1/9/2021","17:51:56","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
