"REPORTE DE VENTAS POR CLIENTE DETALLADO","","","","","","","","","","","","",""
"Caja","Cliente","Nombre","Doc.","Factura","TOTAL1","F.Emision","Usuhora","Clave","Descripción","Cantidad","Prec.","Importe","Total"
"ESTACION01","SYS","Cliente de mostrador","REM","39700","27.5","12/29/2020","17:25:17","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION01","ISGOD","Isidro Godinez Gomez","REM","39862","8165.82","12/30/2020","11:44:10","ACNUT1","Aceite Nutrioli 850ml","12","25.825","309.9","12"
"ESTACION01","SYS","Cliente de mostrador","REM","40089","309.96","12/31/2020","07:24:15","ACNUT1","Aceite Nutrioli 850ml","12","25.825","309.9","12"
"ESTACION01","SYS","Cliente de mostrador","REM","40422","27.5","12/31/2020","18:15:42","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION01","SYS","Cliente de mostrador","REM","40515","73.4","1/2/2021","11:00:44","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION01","SYS","Cliente de mostrador","REM","40557","603.96","1/2/2021","13:46:02","ACNUT1","Aceite Nutrioli 850ml","12","25.825","309.9","12"
"ESTACION01","SYS","Cliente de mostrador","REM","40635","702.46","1/2/2021","18:04:50","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION01","SYS","Cliente de mostrador","REM","40767","116.2","1/4/2021","12:41:07","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION01","SYS","Cliente de mostrador","REM","40822","2739.5","1/4/2021","14:36:43","ACNUT1","Aceite Nutrioli 850ml","12","25.825","309.9","12"
"ESTACION01","SYS","Cliente de mostrador","REM","40848","929.96","1/4/2021","15:30:05","ACNUT1","Aceite Nutrioli 850ml","12","25.825","309.9","12"
"ESTACION01","SYS","Cliente de mostrador","REM","40916","638.5","1/5/2021","07:18:33","ACNUT1","Aceite Nutrioli 850ml","12","25.825","309.9","12"
"ESTACION01","SYS","Cliente de mostrador","REM","41081","46.5","1/5/2021","15:04:50","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION01","SYS","Cliente de mostrador","REM","41109","174.7","1/5/2021","17:00:32","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION01","SYS","Cliente de mostrador","REM","41557","57.5","1/7/2021","14:23:51","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION01","SYS","Cliente de mostrador","REM","41857","27.5","1/8/2021","18:41:46","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION01","SYS","Cliente de mostrador","REM","41866","926.5","1/9/2021","07:12:41","ACNUT1","Aceite Nutrioli 850ml","6","26","156","6"
"ESTACION02","000323","MIGUEL","REM","1337","3824.12","12/10/2020","12:12:56","ACNUT1","Aceite Nutrioli 850ml","12","25.825","309.9","12"
"ESTACION02","TIARB","ARBOLITOS","REM","1370","596.5","12/15/2020","11:41:29","ACNUT1","Aceite Nutrioli 850ml","6","26","156","6"
"ESTACION05","SYS","Cliente de mostrador","REM","48887","47.5","12/1/2020","11:33:40","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","48921","286.5","12/1/2020","12:48:16","ACNUT1","Aceite Nutrioli 850ml","2","27.5","55","2"
"ESTACION05","SYS","Cliente de mostrador","REM","48999","329.2","12/1/2020","15:50:36","ACNUT1","Aceite Nutrioli 850ml","3","27.5","82.5","3"
"ESTACION05","SYS","Cliente de mostrador","REM","49017","84.4","12/1/2020","16:21:05","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","49025","248.1","12/1/2020","16:45:07","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","49145","137.3","12/2/2020","10:22:31","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","49173","6384.08","12/2/2020","11:32:55","ACNUT1","Aceite Nutrioli 850ml","12","25.825","309.9","12"
"ESTACION05","SYS","Cliente de mostrador","REM","49228","465.5","12/2/2020","13:47:13","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","49241","27.5","12/2/2020","14:16:49","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","49269","27.5","12/2/2020","15:34:36","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","49476","55","12/3/2020","11:24:47","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","49616","71.5","12/3/2020","16:12:01","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","49901","27.5","12/4/2020","13:54:27","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","49937","141.45","12/4/2020","15:15:31","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","49969","2792.64","12/4/2020","16:24:30","ACNUT1","Aceite Nutrioli 850ml","6","26.16","156.96","6"
"ESTACION05","SYS","Cliente de mostrador","REM","50029","2492.7","12/5/2020","06:24:37","ACNUT1","Aceite Nutrioli 850ml","12","25.825","309.9","12"
"ESTACION05","SYS","Cliente de mostrador","REM","50179","133.5","12/5/2020","10:38:27","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","50180","173.9","12/5/2020","10:39:51","ACNUT1","Aceite Nutrioli 850ml","2","27.5","55","2"
"ESTACION05","SYS","Cliente de mostrador","REM","50272","145.2","12/5/2020","12:58:56","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","50283","154.4","12/5/2020","13:34:02","ACNUT1","Aceite Nutrioli 850ml","2","27.5","55","2"
"ESTACION05","SYS","Cliente de mostrador","REM","50549","112.4","12/7/2020","11:17:44","ACNUT1","Aceite Nutrioli 850ml","3","27.5","82.5","3"
"ESTACION05","SYS","Cliente de mostrador","REM","50725","165.5","12/7/2020","16:14:34","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","50744","2348.22","12/7/2020","17:01:51","ACNUT1","Aceite Nutrioli 850ml","3","27.5","82.5","3"
"ESTACION05","SYS","Cliente de mostrador","REM","50811","417.86","12/8/2020","08:06:10","ACNUT1","Aceite Nutrioli 850ml","12","25.825","309.9","12"
"ESTACION05","SYS","Cliente de mostrador","REM","50880","79.4","12/8/2020","10:49:09","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","50919","182.5","12/8/2020","11:46:03","ACNUT1","Aceite Nutrioli 850ml","3","27.5","82.5","3"
